"PointID"	"x"	"y"	"z"	"Density"	"X-Momentum"	"Y-Momentum"	"Z-Momentum"	"Energy"	"Residual_Density"	"Residual_X-Momentum"	"Residual_Y-Momentum"	"Residual_Z-Momentum"	"Residual_Energy"	"Grid_Velx"	"Grid_Vely"	"Grid_Velz"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	-3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.223473176158823e+00	1.056076973223908e+01	1.778907751475124e-06	-1.143848276602612e-02	2.534079564545162e+05	3.636298258991033e-05	1.158831940965683e-01	-2.365413820371032e-08	-2.282746809214586e-04	1.087508035745122e+01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013449508803929e+05	2.885612493704294e+02	6.339145450974758e+00	2.534740627589220e-02	
1	-3.000000000000000e+00	0.000000000000000e+00	4.000000000000000e+00	1.223437541390565e+00	1.282372967440980e+01	-1.727317876026065e-06	-4.434358251953037e-02	2.534066348530136e+05	8.023683118585367e-06	5.128025964950211e-02	-1.530497684143484e-08	8.928117713367101e-04	3.338081416906789e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013357706711484e+05	2.885435144923620e+02	5.044517155318355e+00	3.078085254104985e-02	
2	-5.000000000000000e-02	0.000000000000000e+00	0.000000000000000e+00	1.223886979889536e+00	1.786875235233736e+00	9.977031295385074e-06	1.339240842720015e+00	2.534273467741027e+05	-2.495226987122474e-06	-5.669213696819497e-04	-5.934316504863091e-07	2.018227696680697e-04	4.111035836805675e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013701238485921e+05	2.885353362318926e+02	9.889133915116519e+00	5.358062498908677e-03	
3	8.427866380935218e-01	0.000000000000000e+00	2.570912977797211e-01	1.221493152791704e+00	5.626512523441302e+00	1.014897750310477e-04	-1.771221585657718e+00	2.528966316174333e+05	6.536744351400623e-05	-9.497059877503489e-03	2.095256604661699e-06	-1.036562423064424e-02	2.135519343096882e+01	-7.696753331787320e-04	0.000000000000000e+00	-8.812907434582185e-02	1.011529555427345e+05	2.884814453050284e+02	-2.073677298907214e+01	1.418269550170957e-02	
4	8.189394114914234e-01	0.000000000000000e+00	1.591598995679155e-01	1.220521699946132e+00	2.620479688022515e+00	2.013660791641601e-05	-4.561338239438760e-01	2.525597075089605e+05	-1.893831056298223e-05	-1.665636283587446e-02	5.862051466465346e-07	-8.987220771587090e-03	-2.478265748080588e+00	-3.297068557565064e-02	0.000000000000000e+00	-8.034433998347079e-02	1.010227236678900e+05	2.883393488607015e+02	-3.910257116203114e+01	6.402005624038831e-03	
5	5.000000000000000e-02	0.000000000000000e+00	0.000000000000000e+00	1.225275625016345e+00	-1.416494540425755e-01	1.150408022197021e-05	1.183046789526822e-01	2.530140749611376e+05	-1.438729235741493e-05	7.498243583086150e-04	1.353985351215670e-05	-8.507236439641019e-04	-5.106468628958010e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.012056244247973e+05	2.877406365870857e+02	-1.330920535928116e+01	4.429377394246316e-04	
6	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.224466555702591e+00	5.732720008162248e+00	1.672002003254545e-05	-4.668646261633563e-02	2.533701804674805e+05	-1.383744034332834e-04	2.417346792317403e-01	-1.074768078979105e-07	-5.024042495278991e-03	-2.831911506873439e+01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013427039295800e+05	2.883207541474940e+02	6.022271834722956e+00	1.375439229137230e-02	
7	3.000000000000000e+00	0.000000000000000e+00	4.000000000000000e+00	1.223014236444175e+00	1.595503224527068e+01	-9.112409070472198e-06	1.601205006458446e-01	2.533704349987854e+05	2.349143229229966e-05	-7.573252566726296e-02	3.048262442462146e-07	-5.096472273180552e-03	5.233662259997800e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013065410103083e+05	2.885601267001637e+02	9.224383455483215e-01	3.831078383584658e-02	
8	-3.000000000000000e+00	3.000000000000000e-01	0.000000000000000e+00	1.223473155007721e+00	1.056077022534435e+01	1.970304676795030e-06	-1.144421409991232e-02	2.534079520533406e+05	3.636318571864638e-05	1.158681392998915e-01	-4.185130819678307e-08	-2.279807431477821e-04	1.087506391332136e+01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013449491178835e+05	2.885612493405811e+02	6.338896895142828e+00	2.534740791383004e-02	
9	-5.000000000000000e-02	3.000000000000000e-01	0.000000000000000e+00	1.223886983239989e+00	1.786880610960988e+00	1.019968403955790e-05	1.339255728324287e+00	2.534273475397205e+05	-2.487016037213625e-06	-5.669952481639484e-04	-6.171317181724589e-07	2.017190502101585e-04	4.134610156477755e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013701241451865e+05	2.885353362862256e+02	9.889175742001877e+00	5.358094226232311e-03	
10	8.427867722017099e-01	3.000000000000000e-01	2.570912483637950e-01	1.221492901130188e+00	5.626216479847275e+00	1.047283388377473e-04	-1.771375621109410e+00	2.528965787027547e+05	6.536495288072984e-05	-9.498553823732436e-03	6.532263796543702e-07	-1.036439358358621e-02	2.135433357411195e+01	-7.663089027776238e-04	0.000000000000000e+00	-8.813191999125780e-02	1.011529348317889e+05	2.884814456739910e+02	-2.073969372600559e+01	1.418213068315904e-02	
