"PointID"	"x"	"y"	"z"	"Density"	"X-Momentum"	"Y-Momentum"	"Z-Momentum"	"Energy"	"Residual_Density"	"Residual_X-Momentum"	"Residual_Y-Momentum"	"Residual_Z-Momentum"	"Residual_Energy"	"Grid_Velx"	"Grid_Vely"	"Grid_Velz"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	-3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.223464508685268e+00	1.121614076630533e+01	1.352678779287007e-06	-1.216767423941428e-02	2.534080241309485e+05	1.133977884815174e-06	3.457747835454938e-03	-1.272346707992256e-07	8.718479512026533e-05	3.745765772182494e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013426447792917e+05	2.885567273962095e+02	6.013930234343750e+00	2.692079519948841e-02	
1	-3.000000000000000e+00	0.000000000000000e+00	4.000000000000000e+00	1.223369710444833e+00	1.310060095104784e+01	-1.473055486643577e-06	-3.859356340723600e-02	2.533948471161419e+05	-3.394700432979292e-06	-2.132158490894653e-03	1.126463757827878e-07	1.828246658988064e-04	-6.750483179930598e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013298807323353e+05	2.885427411293675e+02	4.213895407604690e+00	3.144716194943098e-02	
2	-5.000000000000000e-02	0.000000000000000e+00	0.000000000000000e+00	1.223781648333125e+00	1.900430236899110e+00	5.470655369391057e-06	1.448665083772804e+00	2.534470936414977e+05	-6.260481711691594e-06	2.930012275555782e-03	1.459823124605464e-07	1.589204308970693e-03	-1.568512361993123e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013779042401845e+05	2.885823182871069e+02	1.098635455993204e+01	5.733773253199017e-03	
3	8.039197099618512e-01	0.000000000000000e+00	4.605861219083345e-01	1.221090177144198e+00	7.428843665748539e+00	6.445349309881239e-05	1.144101137344786e-01	2.528860797235452e+05	-2.368825367720212e-04	3.275783393894471e-02	5.960878297628369e-06	4.385719979131864e-02	-6.474486081325409e+01	-1.057759275135184e-01	0.000000000000000e+00	2.974186776838417e-01	1.011453906557858e+05	2.885550662656374e+02	-2.180360234300446e+01	1.786741736510133e-02	
4	8.119622940728235e-01	0.000000000000000e+00	3.597039382576814e-01	1.217772032534107e+00	3.427869039551060e+00	-2.613592860787762e-04	7.889056833358886e-01	2.520908265208013e+05	-1.273302049669902e-05	1.875378966008157e-02	-2.535124508540321e-06	2.023905671239845e-02	-2.479977120197304e+00	-6.061542859280289e-02	0.000000000000000e+00	3.004687165094611e-01	1.008342985927926e+05	2.884513867440009e+02	-6.567499749082265e+01	8.483603344889229e-03	
5	5.000000000000000e-02	0.000000000000000e+00	0.000000000000000e+00	1.225340142992927e+00	-1.561306729010130e-01	-5.371138536423164e-06	1.687410212328727e-01	2.530337332459676e+05	-6.204209277350497e-07	-3.738911050277238e-04	-6.248595582292182e-06	1.253401950862099e-03	4.552916379807496e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.012134846721587e+05	2.877478326658263e+02	-1.220072314783605e+01	5.517117970468768e-04	
6	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.224039539217671e+00	6.188095233892789e+00	1.912610972156906e-05	-1.278473030816214e-01	2.533804731724329e+05	5.943292006438394e-05	-1.481039356767724e-01	-9.594805305823684e-08	-3.082776496739825e-03	2.439763031175244e+01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013459298522910e+05	2.884305182428604e+02	6.477203820476063e+00	1.485199382458640e-02	
7	3.000000000000000e+00	0.000000000000000e+00	4.000000000000000e+00	1.223035264256589e+00	1.615999494283919e+01	-2.957542636955799e-06	1.182497932485482e-01	2.533593440794915e+05	-2.176603792780618e-05	9.095467634415400e-02	1.425618393113837e-06	3.692643294925801e-04	-7.782764188654255e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013010308632841e+05	2.885394706910308e+02	1.453762916478870e-01	3.880274121671463e-02	
8	-3.000000000000000e+00	3.000000000000000e-01	0.000000000000000e+00	1.223464488229426e+00	1.121614105198609e+01	1.371758261731148e-06	-1.217322479360783e-02	2.534080198673718e+05	1.133475868386746e-06	3.457042830632417e-03	-8.470669854432344e-08	8.697247994859936e-05	3.744371939683333e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013426430724475e+05	2.885567273608018e+02	6.013689528630836e+00	2.692079635138640e-02	
9	-5.000000000000000e-02	3.000000000000000e-01	0.000000000000000e+00	1.223781654099169e+00	1.900436507686076e+00	7.462480823750532e-06	1.448678474595823e+00	2.534470947375905e+05	-6.260819593150851e-06	2.929874461642612e-03	-1.501387032476487e-07	1.588773273738298e-03	-1.568529670067007e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013779046683901e+05	2.885823181463350e+02	1.098641494713576e+01	5.733804672548829e-03	
10	8.039199569611246e-01	3.000000000000000e-01	4.605859408806962e-01	1.221089917687410e+00	7.428560026080747e+00	8.878499448144631e-05	1.141179048039198e-01	2.528860244986107e+05	-2.368862316528203e-04	3.276714284857007e-02	-9.358152965432964e-06	4.385164186328439e-02	-6.474534504968386e+01	-1.057740795799900e-01	0.000000000000000e+00	2.974185028749909e-01	1.011453692650552e+05	2.885550665526496e+02	-2.180661894582322e+01	1.786672831370991e-02	
