Timestep  Iteration  resNorm(0)  resNorm(1)  
147  2  0.0000066540453290  0.0005452589865374  
148  1  0.0030451236367921  0.0039578865961747  
148  2  0.0000128751886437  0.0006463484084387  
149  1  0.0033422562201439  0.0015048733639881  
149  2  0.0000088990423954  0.0007869344869453  
150  1  0.0049053789017244  0.0023388560135516  
150  2  0.0000160920891547  0.0006663580381922  
151  1  0.0026672490855037  0.0032172623217192  
151  2  0.0000191276107037  0.0008838865824130  
152  1  0.0039531094245055  0.0020881683133264  
152  2  0.0000086205876853  0.0008436132312421  
153  1  0.0044383382107440  0.0018894081605483  
153  2  0.0000200667396115  0.0010276454019473  
153  3  0.0000048348878505  0.0002173090871694  
154  1  0.0020321630081327  0.0016420929874631  
154  2  0.0000180541753361  0.0014685105314742  
154  3  0.0000086029790201  0.0005002193676161  
155  1  0.0036692956634752  0.0018909317976177  
155  2  0.0000059186772466  0.0009238962360113  
156  1  0.0032890816012975  0.0025433714436703  
156  2  0.0000130332754139  0.0009532002260743  
157  1  0.0019692700157447  0.0010725561947533  
157  2  0.0000090357325559  0.0014941343893832  
157  3  0.0000126998296985  0.0005937915588041  
158  1  0.0040378828996863  0.0020140427994822  
158  2  0.0000071589835517  0.0016630616796389  
158  3  0.0000050952159831  0.0001950073078304  
159  1  0.0032196833461205  0.0032790503471961  
159  2  0.0000075692864702  0.0009688117219911  
160  1  0.0024454325066976  0.0021692070868437  
160  2  0.0000118066852296  0.0007840931952410  
161  1  0.0040031008201306  0.0023412276399539  
161  2  0.0000075074032510  0.0009148142895823  
162  1  0.0028620673298145  0.0022174664323034  
162  2  0.0000135525286954  0.0010798363218013  
162  3  0.0000071708331877  0.0001636102372976  
163  1  0.0032156629199736  0.0015036444254657  
163  2  0.0000052911902556  0.0006939998959543  
164  1  0.0041885297092654  0.0019039737986264  
164  2  0.0000061430863021  0.0008921534585012  
165  1  0.0030316342105560  0.0014988408902841  
165  2  0.0000095515555261  0.0017694546434729  
165  3  0.0000058923213402  0.0004553421966427  
166  1  0.0037184170951420  0.0016706938564631  
166  2  0.0000073580492305  0.0007703990767440  
167  1  0.0030319297100004  0.0027240938532105  
167  2  0.0000126948829299  0.0003761623762894  
168  1  0.0027303997923205  0.0020033557461770  
168  2  0.0000180205706863  0.0004985147220378  
169  1  0.0043299002605542  0.0013782147991706  
169  2  0.0000128788397938  0.0005890615354300  
170  1  0.0029480441600903  0.0012872599820132  
170  2  0.0000091181345674  0.0007741602183216  
171  1  0.0026906418617227  0.0009779790093347  
171  2  0.0000108597679837  0.0010357711802665  
171  3  0.0000136691712685  0.0003280304587644  
172  1  0.0035571926100328  0.0024553846754202  
172  2  0.0000094954497763  0.0006306611658635  
173  1  0.0022162873037374  0.0015816477847635  
173  2  0.0000121671713856  0.0008339067183478  
174  1  0.0034889816009579  0.0015056675764269  
174  2  0.0000122835189960  0.0004115060629712  
175  1  0.0037007842948977  0.0027806000937461  
175  2  0.0000187532518682  0.0005411146289571  
176  1  0.0022885724186132  0.0026429416776087  
176  2  0.0000242745528740  0.0002984054737176  
177  1  0.0032089431346207  0.0009755467463706  
177  2  0.0000075567963583  0.0007059712484101  
178  1  0.0029201462186713  0.0010745561229620  
178  2  0.0000096738168165  0.0005538961178010  
179  1  0.0026202335442904  0.0013251429064584  
179  2  0.0000086777271460  0.0009653843508721  
180  1  0.0041319806517213  0.0013326560514879  
180  2  0.0000121930383297  0.0012422009650962  
180  3  0.0000134833820764  0.0005150782170035  
181  1  0.0038480444144072  0.0012725756230723  
181  2  0.0000153073662666  0.0008294605519475  
182  1  0.0030835484067777  0.0013872651129725  
182  2  0.0000102023420623  0.0006200740468521  
183  1  0.0036720248992184  0.0025978253271536  
183  2  0.0000141454105338  0.0009474077811931  
184  1  0.0027976551248647  0.0022309004943397  
184  2  0.0000165375870902  0.0015337512060875  
184  3  0.0000288791770815  0.0003051476397482  
185  1  0.0031576534985352  0.0003225271826514  
185  2  0.0000067732188097  0.0012762144048955  
185  3  0.0000066676392210  0.0008864274320563  
186  1  0.0036947185762483  0.0015510869921556  
186  2  0.0000061912355476  0.0009880232812705  
187  1  0.0018920962776889  0.0019147867669589  
187  2  0.0000188516310051  0.0008635099808464  
188  1  0.0030705412290194  0.0013555591854213  
188  2  0.0000161043203728  0.0008876799189163  
189  1  0.0031546855990786  0.0011109620835009  
189  2  0.0000122408964209  0.0008853934131764  
190  1  0.0033481166430920  0.0017580627532998  
190  2  0.0000134347747652  0.0011147754857150  
190  3  0.0000065296433381  0.0002059837484697  
191  1  0.0042199751266108  0.0022949287290127  
191  2  0.0000163790046830  0.0011754288689471  
191  3  0.0000100354194703  0.0003769724252123  
192  1  0.0026304757205115  0.0014696903832657  
192  2  0.0000082065041686  0.0005498541071609  
193  1  0.0034275111095435  0.0010619208247816  
193  2  0.0000091592659077  0.0003924456977908  
194  1  0.0042300388942448  0.0015421804495849  
194  2  0.0000122742503168  0.0007337666653076  
195  1  0.0028198736483619  0.0023375440518302  
195  2  0.0000158721789790  0.0004288865600125  
196  1  0.0037271285736149  0.0014371650786526  
196  2  0.0000090937349731  0.0004534998545497  
197  1  0.0038115217861399  0.0007537138414358  
197  2  0.0000064592846991  0.0007600059872119  
198  1  0.0022110674058388  0.0015254337245953  
198  2  0.0000182676942896  0.0005095779929214  
199  1  0.0030497495488212  0.0008882702079862  
199  2  0.0000136458549822  0.0003845450941240  
200  1  0.0030712064267366  0.0008584283163504  
200  2  0.0000116031261941  0.0009096799749481  
201  1  0.0024369581845859  0.0011888098261847  
201  2  0.0000166858834608  0.0006328080369724  
202  1  0.0034415696343557  0.0015699377852017  
202  2  0.0000151556851502  0.0005593688520070  
203  1  0.0032372097028991  0.0015630702103292  
203  2  0.0000169672195487  0.0005958606725297  
204  1  0.0033488264698017  0.0011908424253684  
204  2  0.0000187538137617  0.0017253059791716  
204  3  0.0000190028694887  0.0007022589931101  
205  1  0.0035582942443649  0.0008523448089979  
205  2  0.0000125322772002  0.0007452344055094  
206  1  0.0026753763097842  0.0012149993983942  
206  2  0.0000266410539782  0.0005863961027950  
207  1  0.0035207618516623  0.0015708239272636  
207  2  0.0000192415519700  0.0003991164314628  
208  1  0.0033707039448517  0.0005218206997526  
208  2  0.0000101008320089  0.0009308745414070  
209  1  0.0022419420026424  0.0013511873775264  
209  2  0.0000158849573177  0.0004564800919822  
210  1  0.0041541769058943  0.0014747204933083  
210  2  0.0000202089436181  0.0008164371624425  
211  1  0.0040981887949238  0.0011201541754703  
211  2  0.0000165154561744  0.0004737640248042  
212  1  0.0035567510813251  0.0009582273054274  
212  2  0.0000116075606972  0.0008311781720233  
213  1  0.0044238458424602  0.0009367464454514  
213  2  0.0000113859449561  0.0011659654513400  
213  3  0.0000124623411410  0.0005109161332086  
214  1  0.0032179918219659  0.0018085592668162  
214  2  0.0000242370672574  0.0009422909669285  
215  1  0.0030098561295243  0.0015106186388441  
215  2  0.0000201474122504  0.0005705499742206  
216  1  0.0040185514856897  0.0014064540055730  
216  2  0.0000132687596290  0.0007033935034781  
217  1  0.0032615683226793  0.0012886521531339  
217  2  0.0000261868171908  0.0008533935681350  
218  1  0.0043197092357938  0.0010762273385789  
218  2  0.0000186568603808  0.0008389973860491  
219  1  0.0042700882993915  0.0006882015129549  
219  2  0.0000203858247535  0.0009095704552630  
220  1  0.0028842392175876  0.0010284515341256  
220  2  0.0000208306886413  0.0005642487022331  
221  1  0.0041803265128159  0.0008110951890929  
221  2  0.0000102076030929  0.0009845126478046  
222  1  0.0042747714144438  0.0010022328637609  
222  2  0.0000144941387782  0.0007769089613389  
223  1  0.0039132406799353  0.0013384175116828  
223  2  0.0000324889702040  0.0007183021563839  
224  1  0.0045941745823576  0.0008241304728120  
224  2  0.0000239828437946  0.0012192338671500  
224  3  0.0000252323436629  0.0007020081848508  
225  1  0.0040749251665597  0.0006747664025370  
225  2  0.0000164996658893  0.0005140719565018  
226  1  0.0039853740044074  0.0004709262766445  
226  2  0.0000176564297633  0.0004322242077572  
227  1  0.0042548925768935  0.0011278058335983  
227  2  0.0000306541636147  0.0004384438606120  
228  1  0.0042133766982384  0.0010598781194612  
228  2  0.0000479418996895  0.0003274376421668  
229  1  0.0052797138313813  0.0013283513005746  
229  2  0.0000195762823510  0.0006480489111546  
230  1  0.0047500190352614  0.0015722469984454  
230  2  0.0000278588058315  0.0005144826076731  
231  1  0.0037479773802672  0.0007983073566681  
231  2  0.0000216542738221  0.0004174220715416  
232  1  0.0053452082095012  0.0006591321238018  
232  2  0.0000228848918178  0.0006952405708661  
233  1  0.0042029522296471  0.0005315878959061  
233  2  0.0000333559970325  0.0010244936093147  
233  3  0.0000276879512325  0.0005050403179355  
234  1  0.0039316316431240  0.0013715493473443  
234  2  0.0000273765992040  0.0002753613157634  
235  1  0.0067184034755143  0.0007297337272295  
235  2  0.0000337538138266  0.0004120902466251  
236  1  0.0058365268887021  0.0008401961096678  
236  2  0.0000224357140019  0.0004724875730142  
237  1  0.0054181740468489  0.0011344562010557  
237  2  0.0000563985701538  0.0007589439589587  
238  1  0.0059757425463445  0.0005045655251729  
238  2  0.0000377463876479  0.0004106829588565  
