"PointID"	"x"	"y"	"z"	"Density"	"X-Momentum"	"Y-Momentum"	"Z-Momentum"	"Energy"	"Residual_Density"	"Residual_X-Momentum"	"Residual_Y-Momentum"	"Residual_Z-Momentum"	"Residual_Energy"	"Grid_Velx"	"Grid_Vely"	"Grid_Velz"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	-3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.223464274704365e+00	1.119108820930065e+01	1.598674153443974e-06	-1.172483467686347e-02	2.534077384576592e+05	8.235651963062196e-06	2.748855333629763e-02	2.817250788211823e-08	-7.532922882091952e-05	2.572088012238964e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013426222731626e+05	2.885567184985568e+02	6.010756333749613e+00	2.686066895463085e-02	
1	-3.000000000000000e+00	0.000000000000000e+00	4.000000000000000e+00	1.223375726968646e+00	1.309529515111801e+01	-1.462077630291620e-06	-3.924669735964553e-02	2.533957916770767e+05	-1.038052976132242e-06	1.002430726748571e-02	4.300818545743823e-08	2.666031978151295e-04	1.802840633899905e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013302814087901e+05	2.885424630290782e+02	4.270400337057815e+00	3.143429103804137e-02	
2	-5.000000000000000e-02	0.000000000000000e+00	0.000000000000000e+00	1.223782844542837e+00	1.897942502274906e+00	7.185559254468981e-06	1.431352689252845e+00	2.534429550687377e+05	-2.088905463741857e-06	4.692950852131617e-03	4.331786840339191e-07	3.161109113534621e-03	-3.337732315258233e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013762585047822e+05	2.885773514614274e+02	1.075426664534806e+01	5.703962286978738e-03	
3	8.233939595849694e-01	0.000000000000000e+00	3.988164458558929e-01	1.221174744155531e+00	6.923038145621018e+00	8.516313668151123e-05	-5.345652300719202e-01	2.528951008191500e+05	-2.307541310789203e-04	3.651295082590877e-02	5.636743935610866e-06	3.930116250694482e-02	-6.311085105051694e+01	-7.757634894147714e-02	0.000000000000000e+00	2.913013608085879e-01	1.011501439610852e+05	2.885486433138187e+02	-2.113327301011995e+01	1.669749732110451e-02	
4	8.203636570138825e-01	0.000000000000000e+00	2.977598862073938e-01	1.218276442969824e+00	3.163094840955083e+00	-1.795415427059705e-04	3.628771241109198e-01	2.521822758209930e+05	-1.212645140482313e-05	2.102721625055892e-02	-1.962805299626780e-06	1.717578085185778e-02	-1.046177970346378e+00	-3.495557238174518e-02	0.000000000000000e+00	2.895244139630604e-01	1.008712461989016e+05	2.884376077715902e+02	-6.046450445612323e+01	7.675927255723847e-03	
5	5.000000000000000e-02	0.000000000000000e+00	0.000000000000000e+00	1.225317795766442e+00	-1.448930752627498e-01	-3.862728733975770e-06	1.504193466038538e-01	2.530167088047483e+05	5.124470165562277e-07	-6.589059487396298e-04	-2.889073925871344e-06	6.202994737236622e-04	6.248364905397307e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.012066764021164e+05	2.877337244595487e+02	-1.316085148548276e+01	5.012446805364510e-04	
6	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.224086021393138e+00	6.479200891086873e+00	1.859413211954940e-05	-1.192972195651835e-01	2.533746348270414e+05	3.141918573701385e-05	-8.994437079491036e-02	1.428761606803164e-07	-4.436164846993051e-03	1.696045092868735e+01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013429926032170e+05	2.884112065874411e+02	6.062981697504473e+00	1.554992145909999e-02	
7	3.000000000000000e+00	0.000000000000000e+00	4.000000000000000e+00	1.223023489016313e+00	1.599813177402298e+01	-3.563502082620670e-06	1.199048712977896e-01	2.533591287504662e+05	-1.794129508403408e-05	7.304055509848695e-02	1.438143954146653e-06	-9.310416180596803e-04	-6.679082022979856e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013017954606687e+05	2.885444265939672e+02	2.532027455463215e-01	3.841417222015732e-02	
8	-3.000000000000000e+00	3.000000000000000e-01	0.000000000000000e+00	1.223464255124028e+00	1.119108873632971e+01	1.461317607058911e-06	-1.172997401220665e-02	2.534077343750585e+05	8.233869837837027e-06	2.748444553071749e-02	-8.549613994546235e-08	-7.529201957368059e-05	2.571564798563486e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013426206378467e+05	2.885567184603243e+02	6.010525715226917e+00	2.686067066418046e-02	
9	-5.000000000000000e-02	3.000000000000000e-01	0.000000000000000e+00	1.223782848495800e+00	1.897949152090622e+00	8.444312651012887e-06	1.431366744126728e+00	2.534429557705061e+05	-2.094324930390422e-06	4.693120971751341e-03	1.836447154346388e-07	3.160904803394260e-03	-3.352765441572900e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013762587747917e+05	2.885773512978969e+02	1.075430472313182e+01	5.703995315742925e-03	
