"PointID"	"x"	"y"	"z"	"Density"	"X-Momentum"	"Y-Momentum"	"Z-Momentum"	"Energy"	"Residual_Density"	"Residual_X-Momentum"	"Residual_Y-Momentum"	"Residual_Z-Momentum"	"Residual_Energy"	"Grid_Velx"	"Grid_Vely"	"Grid_Velz"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
0	-3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.223476350547851e+00	9.923580371159385e+00	4.055074928174882e-07	-1.425315723803532e-02	2.534079600479135e+05	4.633815464316626e-05	1.484667811428153e-01	9.407085599377751e-07	8.870226511135115e-04	1.370745857839938e+01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013470860127770e+05	2.885665800634550e+02	6.640250003813696e+00	2.381778655420050e-02	
1	-3.000000000000000e+00	0.000000000000000e+00	4.000000000000000e+00	1.223476820417826e+00	1.254162914954074e+01	-2.214680550974045e-06	-4.839469922595986e-02	2.534135779672611e+05	1.434128578914340e-05	6.708481808345823e-02	1.340595190413296e-07	7.567422471765894e-04	4.977352904446889e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013397184310685e+05	2.885454914593029e+02	5.601245391127127e+00	3.010270000823153e-02	
2	-5.000000000000000e-02	0.000000000000000e+00	0.000000000000000e+00	1.224074853028032e+00	1.839970547700997e+00	6.533203030487389e-06	1.379675065065570e+00	2.534167058744660e+05	-7.849506988297721e-06	-2.150823204601693e-03	3.805246251431527e-07	-1.529317942299713e-03	-4.997717094124493e-02	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013658181877805e+05	2.884787977691659e+02	9.281933123750980e+00	5.517887010869917e-03	
3	8.305333021408281e-01	0.000000000000000e+00	3.763257081754774e-01	1.221444065838708e+00	6.309413972170606e+00	6.063156675923549e-05	-1.067233227853478e+00	2.528399794039558e+05	2.449758328117589e-04	-1.317054089463454e-02	1.486619839852210e-05	-4.954075113141698e-02	7.100137528707194e+01	1.011857824925300e-01	0.000000000000000e+00	-4.328963129883234e-01	1.011292869614881e+05	2.884255347740913e+02	-2.407460703877076e+01	1.538776086996312e-02	
4	8.255715754404124e-01	0.000000000000000e+00	2.756453613536304e-01	1.221240848924657e+00	3.433370061414585e+00	-1.204880216675838e-04	3.244686965531862e-02	2.526609942870034e+05	-3.313183514484342e-05	-2.246641462352272e-02	9.089445597965096e-06	-2.340363518123922e-02	-6.127122434438434e+00	2.926045890583318e-02	0.000000000000000e+00	-4.295088194870955e-01	1.010624670419447e+05	2.882829240591574e+02	-3.349780821539093e+01	8.260006364642435e-03	
5	5.000000000000000e-02	0.000000000000000e+00	0.000000000000000e+00	1.225584210358327e+00	-1.450664819763224e-01	8.981343173077923e-07	1.345038504474470e-01	2.531522148074018e+05	3.584311747436731e-06	5.817249075334985e-06	1.348614205198828e-06	-1.187473415882323e-03	3.950635473272568e-03	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.012608795365256e+05	2.878252452807554e+02	-5.516917708982051e+00	4.746018072247706e-04	
6	3.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.224804040665196e+00	4.003725183472493e+00	1.992070216760340e-05	-3.062340370238696e-02	2.533833355239319e+05	-2.115035593189263e-04	3.303388379554235e-01	-4.066223482368514e-07	1.961971752280078e-03	-4.673915744478290e+01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013507165250117e+05	2.882640992814398e+02	7.152238754994615e+00	9.604311304858695e-03	
7	3.000000000000000e+00	0.000000000000000e+00	4.000000000000000e+00	1.223015205090884e+00	1.646281670841133e+01	-8.856900818597004e-06	1.903488659110437e-01	2.533749004634049e+05	3.537129679798134e-05	-1.223513437344081e-01	-1.495696778874844e-06	-5.969846588413930e-03	1.055374574457528e+01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013056335791943e+05	2.885573134441628e+02	7.944689316455172e-01	3.953087490948144e-02	
8	-3.000000000000000e+00	3.000000000000000e-01	0.000000000000000e+00	1.223476325134441e+00	9.923580770394183e+00	1.920491893987278e-06	-1.426056905917883e-02	2.534079547466176e+05	4.633278903576343e-05	1.484455049339886e-01	-1.040134520735592e-07	8.876898991729831e-04	1.370580789505038e+01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013470838905945e+05	2.885665800148970e+02	6.639950725496878e+00	2.381778803470221e-02	
9	-5.000000000000000e-02	3.000000000000000e-01	0.000000000000000e+00	1.224074856887392e+00	1.839976820352863e+00	9.173796955246084e-06	1.379688399733485e+00	2.534167067224833e+05	-7.853826156441033e-06	-2.150547288238158e-03	3.791035396716325e-07	-1.529406476606709e-03	-5.117162514329889e-02	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013658185172067e+05	2.884787977971472e+02	9.281979580698277e+00	5.517918227926826e-03	
10	8.305334331973031e-01	3.000000000000000e-01	3.763256835564781e-01	1.221443788226747e+00	6.309195673515737e+00	1.113338805936752e-04	-1.067421413403189e+00	2.528399217112107e+05	2.449937349441255e-04	-1.318197147077171e-02	-1.308048877035617e-05	-4.953601849138067e-02	7.100571598302952e+01	1.011970827539455e-01	0.000000000000000e+00	-4.329054821402611e-01	1.011292642681325e+05	2.884255356054263e+02	-2.407780734276540e+01	1.538732223868802e-02	
11	8.255716662119329e-01	3.000000000000000e-01	2.756454166033013e-01	1.221240362712823e+00	3.433291640322992e+00	-7.581828056437432e-05	3.259305532804146e-02	2.526608928053975e+05	-3.310631503658995e-05	-2.246726662269793e-02	3.189749463672342e-06	-2.339988442236063e-02	-6.118798450538065e+00	2.925381583412934e-02	0.000000000000000e+00	-4.295093324244104e-01	1.010624265351656e+05	2.882829232865682e+02	-3.350352063664319e+01	8.259824343323377e-03	
12	5.000000000000000e-02	3.000000000000000e-01	0.000000000000000e+00	1.225584205926390e+00	-1.450734355746857e-01	2.494372442545514e-06	1.345023001498629e-01	2.531522136400615e+05	3.590746360437607e-06	5.205567731536576e-06	1.272925260309421e-06	-1.188106090921792e-03	5.964908358239207e-03	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.012608790693283e+05	2.878252449936164e+02	-5.516983594940205e+00	4.746115137000438e-04	
13	3.000000000000000e+00	3.000000000000000e-01	0.000000000000000e+00	1.224804046873136e+00	4.003715303320947e+00	1.750942903985108e-05	-3.064079970227186e-02	2.533833364631257e+05	-2.115003499079116e-04	3.303424803925736e-01	8.533024811185896e-07	1.959101533429930e-03	-4.673746337814373e+01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013507169134472e+05	2.882640989251658e+02	7.152293533661186e+00	9.604287881789924e-03	
14	3.000000000000000e+00	3.000000000000000e-01	4.000000000000000e+00	1.223015189682257e+00	1.646282484477851e+01	-8.511578669409504e-06	1.903574950684550e-01	2.533748975536274e+05	3.536660913239231e-05	-1.223629132000497e-01	-1.299857103731483e-06	-5.971472982309933e-03	1.055205595836742e+01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013056323703786e+05	2.885573136364920e+02	7.942984598248993e-01	3.953089516851429e-02	
15	-3.000000000000000e+00	3.000000000000000e-01	4.000000000000000e+00	1.223476813509317e+00	1.254163589546314e+01	-1.242176392108783e-06	-4.839719643088394e-02	2.534135764915771e+05	1.433583197729682e-05	6.708722775510978e-02	-4.884859663434327e-07	7.572535769213573e-04	4.975880509067792e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013397178129497e+05	2.885454913286344e+02	5.601158221651860e+00	3.010271639962808e-02	
16	-2.132421637270402e+00	0.000000000000000e+00	0.000000000000000e+00	1.223502119713786e+00	9.480416121020838e+00	3.668503794691636e-06	4.622698220380959e-02	2.534163554259230e+05	-7.990942174945195e-06	1.323115467612556e-01	-5.870097083970904e-07	7.833545096218586e-04	-2.226050636210012e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.013518498498062e+05	2.885740661652689e+02	7.312064561582532e+00	2.275361168733661e-02	
